"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"BAALC",1.84451253121006e-300,0.300886431635544,0.286,0.049,3.76741684499654e-296,"0","BAALC"
"SPACA9",2.779081903009e-244,0.270328262024997,0.344,0.089,5.67627478689588e-240,"0","SPACA9"
"DENND6B",8.21902580246287e-235,0.29417793309,0.394,0.12,1.67873602015304e-230,"0","DENND6B"
"NRXN3",5.25612328223871e-185,0.257294319706208,0.389,0.133,1.07356318039726e-180,"0","NRXN3"
"PTPN14",2.79786474227831e-171,0.253251641382793,0.287,0.084,5.71463873610345e-167,"0","PTPN14"
"SYT1",5.54201649717308e-166,0.254421051222075,0.347,0.12,1.1319568695476e-161,"0","SYT1"
"SLAIN1",1.36622577368456e-157,0.251531533794761,0.409,0.166,2.79051614275071e-153,"0","SLAIN1"
"IGLC7",0,0.98398419882388,0.275,0.021,0,"1","IGLC7"
"AL118556.1",0,0.871170086693016,0.603,0.092,0,"1","AL118556.1"
"P4HA2",0,0.704174538429152,0.511,0.085,0,"1","P4HA2"
"AL132996.1",0,0.610382702000076,0.39,0.034,0,"1","AL132996.1"
"TEX41",0,0.372471304736814,0.262,0.034,0,"1","TEX41"
"LINC01133",7.89415349386336e-290,0.518521868565389,0.45,0.139,1.61238085112159e-285,"1","LINC01133"
"RUBCNL",1.55604561564679e-238,0.443627773792821,0.41,0.134,3.17822316995856e-234,"1","RUBCNL"
"CNR2",1.57423999955121e-238,0.427925437130253,0.423,0.14,3.21538519908335e-234,"1","CNR2"
"RIMS3",9.55045049345692e-194,0.380177394693648,0.319,0.093,1.95067951328858e-189,"1","RIMS3"
"C16orf74",3.77327261543011e-191,0.387640681058604,0.274,0.071,7.70690931701599e-187,"1","C16orf74"
"AL139020.1",3.6815536266499e-188,0.441781912384544,0.385,0.139,7.51957328243243e-184,"1","AL139020.1"
"PPP1R14A",3.9521972650146e-185,0.434881670542569,0.302,0.09,8.07236291379233e-181,"1","PPP1R14A"
"N4BP3",2.03386834958331e-183,0.305997329752793,0.277,0.075,4.15417610402391e-179,"1","N4BP3"
"ZNF296",8.85423223174361e-176,0.373127498081901,0.37,0.137,1.80847693333363e-171,"1","ZNF296"
"CLN8",4.36142902290852e-173,0.411913931979102,0.414,0.172,8.90821877929066e-169,"1","CLN8"
"AP001059.2",1.48074184972315e-155,0.314770401766738,0.301,0.1,3.02441522805953e-151,"1","AP001059.2"
"IKZF2",1.57538960837833e-153,0.390966502732004,0.416,0.177,3.21773327511274e-149,"1","IKZF2"
"ABCA1",5.04879959780164e-153,0.322332651088168,0.372,0.144,1.03121731785098e-148,"1","ABCA1"
"CECR2",6.31004838816936e-140,0.291307668982632,0.295,0.104,1.28882738328359e-135,"1","CECR2"
"CA6",2.57692034440805e-130,0.307147996358416,0.263,0.087,5.26335980345344e-126,"1","CA6"
"MPZL1",1.0892742409183e-125,0.306093219806554,0.334,0.142,2.22484263707563e-121,"1","MPZL1"
"SNX29",1.12859666309501e-113,0.296172153021322,0.401,0.196,2.30515868437156e-109,"1","SNX29"
"KDM1B",1.63187607742542e-113,0.275134468718843,0.34,0.151,3.33310688814141e-109,"1","KDM1B"
"MIR3142HG",1.58258865276434e-111,0.294142227687748,0.326,0.143,3.23243732327116e-107,"1","MIR3142HG"
"SERHL2",7.80865233539079e-109,0.29262102824718,0.323,0.143,1.59491723950357e-104,"1","SERHL2"
"SORBS3",5.48865253332316e-105,0.302630894114655,0.375,0.186,1.12105727993125e-100,"1","SORBS3"
"PIK3C2B",2.64102341745496e-104,0.258277396994288,0.275,0.11,5.39429033015176e-100,"1","PIK3C2B"
"HIP1",3.35925865245684e-104,0.282756863526258,0.367,0.179,6.8612857976431e-100,"1","HIP1"
"SOWAHD",4.09526156828067e-104,0.262571023012897,0.286,0.119,8.36457175321327e-100,"1","SOWAHD"
"CLIP2",9.03190776608029e-104,0.26944583618921,0.335,0.153,1.8447671612219e-99,"1","CLIP2"
"FAM215B",1.65824488193328e-100,0.28273983694028,0.379,0.194,3.38696517134873e-96,"1","FAM215B"
"WASF1",5.21847324658793e-91,0.271548127111527,0.265,0.113,1.06587316061558e-86,"1","WASF1"
"LMF1",3.36681325411598e-90,0.253721240557282,0.271,0.116,6.87671607153189e-86,"1","LMF1"
"ADARB2-AS1",3.24386149088526e-84,0.251639067956183,0.266,0.117,6.62558709513314e-80,"1","ADARB2-AS1"
"FBXL4",5.2237537442939e-75,0.25128107226945,0.337,0.184,1.06695170227203e-70,"1","FBXL4"
"KANK2",2.45798648376072e-74,0.295387277788364,0.318,0.169,5.02043739308126e-70,"1","KANK2"
"DNASE1",1.65729099821953e-72,0.252707829279192,0.366,0.207,3.38501686386338e-68,"1","DNASE1"
"INKA1",2.39992016027147e-70,0.253028954029882,0.333,0.186,4.90183692735448e-66,"1","INKA1"
"QPRT",1.60519230358654e-66,0.256868754521468,0.334,0.19,3.2786052800755e-62,"1","QPRT"
"NDUFAF6",2.45675067584619e-66,0.274231756564332,0.344,0.2,5.01791325541583e-62,"1","NDUFAF6"
"HIVEP3",1.3752706256528e-56,0.2592641320792,0.327,0.191,2.80899025289584e-52,"1","HIVEP3"
"PTGDS",0,1.98039042192116,0.284,0.015,0,"2","PTGDS"
"PRSS23",0,1.04884387878122,0.497,0.04,0,"2","PRSS23"
"CHST2",0,0.866564954796902,0.42,0.086,0,"2","CHST2"
"HAVCR2",0,0.665505527951393,0.296,0.02,0,"2","HAVCR2"
"PDGFD",0,0.552944942774395,0.257,0.023,0,"2","PDGFD"
"ADAM8",4.39832073332431e-306,0.603897654889242,0.348,0.066,8.98357009781491e-302,"2","ADAM8"
"CD160",8.29283081687274e-272,0.725489092262417,0.262,0.039,1.69381069434626e-267,"2","CD160"
"SH2D2A",3.2728837203674e-253,0.613208998212852,0.305,0.062,6.68486499885041e-249,"2","SH2D2A"
"GK5",5.77637950215187e-252,0.732839621356243,0.407,0.121,1.17982551331452e-247,"2","GK5"
"ASCL2",1.67695027689281e-226,0.564856236960076,0.261,0.048,3.42517094055356e-222,"2","ASCL2"
"PTGER2",1.52529480308502e-207,0.558967630251511,0.312,0.078,3.11541463530116e-203,"2","PTGER2"
"PLEKHA1",2.64010723195803e-201,0.609687699102605,0.328,0.091,5.39241902127428e-197,"2","PLEKHA1"
"LPCAT1",1.52361457263459e-138,0.552668673097593,0.31,0.112,3.11198276460615e-134,"2","LPCAT1"
"CDK14",6.28664839217925e-123,-0.357520630406585,0.001,0.263,1.28404793410261e-118,"2","CDK14"
"SLC2A5",2.65603386631296e-116,-0.349805961144456,0.002,0.253,5.42494917194422e-112,"2","SLC2A5"
"LGALS3BP",1.21760643967099e-112,-0.297940614371818,0.008,0.258,2.48696115302801e-108,"2","LGALS3BP"
"UBE2F",1.28349237368404e-101,0.574995844596127,0.407,0.236,2.62153317324965e-97,"2","UBE2F"
"AC097376.2",1.41904350204725e-77,-0.261061371098893,0.041,0.254,2.8983963529315e-73,"2","AC097376.2"
"GTF3C1",8.26985014939421e-75,0.523560347516785,0.313,0.169,1.68911689301377e-70,"2","GTF3C1"
"CHD7",6.46494151400671e-69,-0.251328467929519,0.052,0.255,1.32046430423587e-64,"2","CHD7"
"IRF9",1.69697783707507e-56,0.427708741393948,0.309,0.183,3.46607723222584e-52,"2","IRF9"
"MIB2",2.25016105156148e-56,0.442153175688525,0.268,0.147,4.59595394781433e-52,"2","MIB2"
"USP28",6.30240598588732e-41,0.406030017799756,0.322,0.226,1.28726642261749e-36,"2","USP28"
"FAM173A",2.6390333274579e-28,0.346194747296039,0.255,0.179,5.39022557133275e-24,"2","FAM173A"
"INPP4A",9.96363451902529e-26,0.330564436108,0.264,0.192,2.03507235051092e-21,"2","INPP4A"
"BCL9L",3.29421430142341e-24,0.352468736148449,0.254,0.184,6.72843271065731e-20,"2","BCL9L"
"RAPGEF1",8.17174081646445e-24,0.347720278899594,0.275,0.21,1.66907806176286e-19,"2","RAPGEF1"
