"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"IMPDH2.8",0.000196451146204377,-0.442310443082837,0.286,0.363,1,"16","IMPDH2"
"RBBP6.4",0.000197913385798082,-0.497052771799083,0.482,0.467,1,"16","RBBP6"
"CCNY.3",0.000198363091575861,-0.393649116458038,0.232,0.334,1,"16","CCNY"
"ABI2.4",0.000200978057304375,-0.301112513491214,0.125,0.253,1,"16","ABI2"
"NTHL1.11",0.000202285188338737,-0.442078580222519,0.268,0.361,1,"16","NTHL1"
"SNX5.7",0.000202425465478686,-0.488723713616161,0.455,0.459,1,"16","SNX5"
"LRCH3.2",0.000204856123958002,-0.317971862462679,0.125,0.251,1,"16","LRCH3"
"CNOT2.2",0.000205175292757731,-0.442053638584848,0.393,0.427,1,"16","CNOT2"
"UBE2L6.5",0.000209859193966772,-0.491186001740712,0.455,0.46,1,"16","UBE2L6"
"PAFAH1B3.4",0.000210656680714913,-0.284157848425611,0.143,0.269,1,"16","PAFAH1B3"
"SMS.2",0.000216555919217419,-0.32037940341845,0.17,0.29,1,"16","SMS"
"HNRNPA1P48.3",0.000217332209014462,-0.281767936138366,0.134,0.259,1,"16","HNRNPA1P48"
"HIST1H2AC.10",0.000221276369827584,-0.578683793569409,0.339,0.404,1,"16","HIST1H2AC"
"ETHE1.5",0.000222745049974748,-0.383092992322818,0.25,0.342,1,"16","ETHE1"
"ATP5PD.3",0.000227247224261113,-0.388596998768111,0.634,0.544,1,"16","ATP5PD"
"NHLRC2.2",0.000228282196127411,-0.304958460791456,0.125,0.251,1,"16","NHLRC2"
"TTC3.7",0.000231555399455,-0.293710107137533,0.714,0.571,1,"16","TTC3"
"SSRP1.3",0.000233347261318186,-0.317693253897609,0.205,0.313,1,"16","SSRP1"
"TMEM106A.8",0.000234611604293365,-0.304087316660066,0.134,0.258,1,"16","TMEM106A"
"HIST1H1D.5",0.000236518948684749,-0.449232750622644,0.295,0.388,1,"16","HIST1H1D"
"PTPRA.2",0.000240151650712583,-0.498597639592456,0.402,0.427,1,"16","PTPRA"
"EFCAB14",0.000242282453621638,-0.340583619903961,0.143,0.264,1,"16","EFCAB14"
"SNRK.2",0.000242455887369136,-0.36883813583376,0.143,0.27,1,"16","SNRK"
"METAP2.4",0.000244451883197796,-0.531210260092079,0.545,0.482,1,"16","METAP2"
"CWC27.2",0.000246434471776773,-0.348962049707343,0.214,0.318,1,"16","CWC27"
"SHPRH.2",0.000250751255143875,-0.387566566145177,0.196,0.306,1,"16","SHPRH"
"CABIN1.1",0.000256206885775834,-0.326805090663333,0.152,0.269,1,"16","CABIN1"
"TLN1.11",0.000258923483722255,-0.662644788117992,0.482,0.456,1,"16","TLN1"
"RNF115.2",0.000259440948523846,-0.443016382952052,0.366,0.408,1,"16","RNF115"
"SSU72.1",0.000261125886177493,-0.402497718991771,0.714,0.567,1,"16","SSU72"
"PSMC6",0.000262932355332451,-0.39726337238994,0.384,0.43,1,"16","PSMC6"
"KPNA6",0.000265296428703064,-0.349250904639539,0.188,0.298,1,"16","KPNA6"
"BTK.10",0.00026542526675187,-0.574217781731314,0.402,0.422,1,"16","BTK"
"CDC40",0.000268301671804983,-0.395986586986558,0.241,0.334,1,"16","CDC40"
"ARF1.2",0.000270589036000846,-0.379863748835781,0.804,0.635,1,"16","ARF1"
"NELFCD.2",0.000272908334222682,-0.314990648492268,0.196,0.31,1,"16","NELFCD"
"EWSR1",0.000275444281775113,-0.45794742960485,0.429,0.441,1,"16","EWSR1"
"PSMA5.8",0.000275914613532665,-0.465516314509158,0.67,0.545,1,"16","PSMA5"
"CD19.12",0.000278618425362865,-0.393341901566522,0.321,0.389,1,"16","CD19"
"EFHD2.14",0.000279313828335246,-0.940177607334098,0.562,0.502,1,"16","EFHD2"
"AQR",0.000280414558224921,-0.318925977350382,0.152,0.27,1,"16","AQR"
"FKBP8.4",0.000281626803735259,-0.460519722410854,0.634,0.526,1,"16","FKBP8"
"LARP7",0.000297278938952134,-0.481548808807452,0.393,0.417,1,"16","LARP7"
"TNRC6C.2",0.000299295728138279,-0.358872028677088,0.161,0.277,1,"16","TNRC6C"
"SF3A1",0.000303796908239992,-0.324424722104559,0.17,0.28,1,"16","SF3A1"
"CUL5.1",0.000304452474631239,-0.360307680232959,0.223,0.324,1,"16","CUL5"
"ZC3H18",0.000312324206898597,-0.309356481253557,0.152,0.269,1,"16","ZC3H18"
"HPCAL1.4",0.000315707985486806,-0.358955075275245,0.241,0.344,1,"16","HPCAL1"
"IQSEC1.4",0.000315978048918414,-0.355101459402806,0.241,0.345,1,"16","IQSEC1"
"FUBP1.1",0.000318346367560246,-0.409436446790273,0.295,0.364,1,"16","FUBP1"
"JCHAIN.12",0.000320223364233301,1.88593663935699,0.545,0.442,1,"16","JCHAIN"
"TPD52L2",0.000328768744526675,-0.269532660262368,0.143,0.268,1,"16","TPD52L2"
"TRIM44.5",0.000329701989777681,-0.419842195941199,0.339,0.396,1,"16","TRIM44"
"SUPT16H.5",0.000333547325398737,-0.462364484199778,0.366,0.407,1,"16","SUPT16H"
"SFSWAP",0.00033963834606242,-0.375028350532049,0.259,0.347,1,"16","SFSWAP"
"COPS6.3",0.000343495726622589,-0.432976209994735,0.455,0.446,1,"16","COPS6"
"USP1.2",0.00035436262459149,-0.416375168617642,0.17,0.278,1,"16","USP1"
"BAG5",0.000356672054319179,-0.346291579507676,0.196,0.303,1,"16","BAG5"
"ANKRD17.2",0.000357196381210941,-0.364456430553199,0.259,0.345,1,"16","ANKRD17"
"HOOK3.4",0.000359592751721658,-0.438272103651325,0.295,0.364,1,"16","HOOK3"
"SRSF9.3",0.000362632478862824,-0.290963036735793,0.866,0.723,1,"16","SRSF9"
"HECTD1.1",0.000365184578108416,-0.380421508959919,0.259,0.344,1,"16","HECTD1"
"ATP5MF.7",0.000366406375637186,-0.314337440201942,0.857,0.681,1,"16","ATP5MF"
"IFITM1.16",0.000368657063157643,-0.763756981787651,0.33,0.385,1,"16","IFITM1"
"SOD2.11",0.000368696567896713,-0.904706241497741,0.321,0.389,1,"16","SOD2"
"SUPT20H",0.00038274377297133,-0.343134748608534,0.188,0.295,1,"16","SUPT20H"
"PTK2B.7",0.000385521557831657,-0.473987137542475,0.545,0.496,1,"16","PTK2B"
"DYNC1LI2",0.000389009204487026,-0.392164433050729,0.241,0.329,1,"16","DYNC1LI2"
"MRPS21.2",0.000397696486397411,-0.417775578563628,0.723,0.559,1,"16","MRPS21"
"SETD5.3",0.000398938912268098,-0.396944149648797,0.277,0.354,1,"16","SETD5"
"EPM2AIP1.4",0.000404008583085722,-0.434722944240546,0.312,0.372,1,"16","EPM2AIP1"
"ILK.1",0.000404751646200917,-0.345980382483874,0.161,0.271,1,"16","ILK"
"ARL16.2",0.000412136925139969,-0.321989097271236,0.188,0.291,1,"16","ARL16"
"EIF3I.3",0.000413809351260482,-0.46482198306924,0.688,0.543,1,"16","EIF3I"
"CLIC3.3",0.000420420118352563,-0.600550093792282,0.339,0.162,1,"16","CLIC3"
"WAS.6",0.000420875520623589,-0.387545928727556,0.286,0.362,1,"16","WAS"
"DNAJC7.3",0.000441144252236487,-0.373275769185198,0.652,0.536,1,"16","DNAJC7"
"PHF20L1.2",0.000452025366485384,-0.4510228268106,0.384,0.412,1,"16","PHF20L1"
"ENSA.4",0.000452085912537786,-0.407613672094081,0.589,0.515,1,"16","ENSA"
"MAP1LC3B.3",0.000452684894754235,-0.500025196583965,0.679,0.553,1,"16","MAP1LC3B"
"KDM1A.1",0.000453357462694996,-0.253798360361623,0.134,0.253,1,"16","KDM1A"
"CGGBP1",0.000456869759397469,-0.408462462000308,0.321,0.383,1,"16","CGGBP1"
"ADK.2",0.000457995279246121,-0.341398262361443,0.196,0.298,1,"16","ADK"
"CSNK2A2.2",0.000463642993395376,-0.311406706525947,0.179,0.282,1,"16","CSNK2A2"
"PDS5A.2",0.000468395724047975,-0.379379580353645,0.286,0.357,1,"16","PDS5A"
"TYROBP.15",0.00047238515959095,-1.12694022094089,0.134,0.253,1,"16","TYROBP"
"TPM4.14",0.00047292503815389,-0.421373661054778,0.821,0.682,1,"16","TPM4"
"NRDE2",0.000475205409074557,-0.320054958325962,0.152,0.262,1,"16","NRDE2"
"CCDC69.5",0.000493032555101021,-0.435826214801702,0.438,0.445,1,"16","CCDC69"
"ATXN10.2",0.000493476991852605,-0.384586321460816,0.357,0.399,1,"16","ATXN10"
"MAT2B.2",0.000500263939762065,-0.459849464172208,0.304,0.362,1,"16","MAT2B"
"VPS26A",0.000501300885573801,-0.288310297370687,0.152,0.265,1,"16","VPS26A"
"SYNE1.11",0.000501764077736384,-0.649460241947078,0.223,0.316,1,"16","SYNE1"
"POLR3GL.6",0.000511474319767565,-0.465274327573363,0.402,0.423,1,"16","POLR3GL"
"DGKA.3",0.000517784127494324,-0.258141613012784,0.152,0.266,1,"16","DGKA"
"MYADM.9",0.000520819000830145,-0.519202173548432,0.42,0.45,1,"16","MYADM"
"CREBRF.3",0.00053057028011675,-0.519067973266511,0.393,0.418,1,"16","CREBRF"
"HNRNPL",0.000540826051121007,-0.371205778329282,0.268,0.352,1,"16","HNRNPL"
"MPRIP.7",0.000547473950109861,-0.381295638466345,0.259,0.338,1,"16","MPRIP"
"MRPS18C",0.000547979952979038,-0.461279237574507,0.527,0.475,1,"16","MRPS18C"
"GOLGA7.1",0.000562580668093719,-0.332922196787173,0.161,0.27,1,"16","GOLGA7"
"CYTH4.6",0.000574592617939653,-0.487231017594837,0.295,0.355,1,"16","CYTH4"
"AIMP1.2",0.00057975724597807,-0.421982155123836,0.393,0.414,1,"16","AIMP1"
"ATP5IF1.9",0.000581948295223253,-0.350952055165176,0.884,0.739,1,"16","ATP5IF1"
"MFNG.2",0.000583441742425779,-0.294801565501789,0.152,0.263,1,"16","MFNG"
"PAFAH1B1.1",0.000584692042110968,-0.414404145422189,0.339,0.39,1,"16","PAFAH1B1"
"DNAJA1.3",0.000593897211547841,-0.507151001838739,0.562,0.489,1,"16","DNAJA1"
"SNX17.3",0.000598265060975885,-0.422128198720143,0.393,0.414,1,"16","SNX17"
"VASP.11",0.000617636461345044,-0.573682011585086,0.286,0.361,1,"16","VASP"
"ITSN2.2",0.000634866307703983,-0.44015065567661,0.295,0.357,1,"16","ITSN2"
"CHD2.1",0.000639569302572554,-0.416836411114688,0.375,0.407,1,"16","CHD2"
"CNOT7.2",0.000653439693275804,-0.368928228958546,0.455,0.447,1,"16","CNOT7"
"NDUFB7.7",0.00066967526402666,-0.26731662277759,0.857,0.665,1,"16","NDUFB7"
"KHSRP.1",0.000675537990589582,-0.313014585947822,0.161,0.265,1,"16","KHSRP"
"PBRM1.2",0.000676793254132418,-0.444229259303874,0.402,0.418,1,"16","PBRM1"
"TSC22D3.6",0.000677240353410491,-0.387588994372534,0.777,0.732,1,"16","TSC22D3"
"PFDN1.3",0.000695381447824539,-0.43018854567062,0.402,0.411,1,"16","PFDN1"
"NUP62.3",0.000695429150912664,-0.308519615815963,0.179,0.281,1,"16","NUP62"
"TPGS2.3",0.00070035655413463,-0.284798535269372,0.17,0.278,1,"16","TPGS2"
"PLEKHF2.1",0.000718273097440221,-0.314264201254604,0.161,0.264,1,"16","PLEKHF2"
"BLNK.14",0.000733719544933462,-0.733586663011776,0.607,0.501,1,"16","BLNK"
"RPA2.2",0.000750903335955142,-0.346950752323974,0.188,0.283,1,"16","RPA2"
"PARVG.2",0.000768127495105672,-0.36434978138323,0.205,0.296,1,"16","PARVG"
"PHF14.1",0.000788509598009796,-0.333953076425149,0.205,0.298,1,"16","PHF14"
"CDC42SE2.6",0.000797334498780322,-0.543970463341286,0.58,0.505,1,"16","CDC42SE2"
"PPM1B.1",0.000797574400383869,-0.275541048399977,0.188,0.289,1,"16","PPM1B"
